"","pathways","TME","source"
"118","D-Glutamine and D-Glutamate Metabolism","Abnormal metabolism in tumors","Abnormal_metab"
"119","Glutathione Metabolism","Abnormal metabolism in tumors","Abnormal_metab"
"120","N-Glycan Biosynthesis","Abnormal metabolism in tumors","Abnormal_metab"
"121","Mucin Type O-Glycan Biosynthesis","Abnormal metabolism in tumors","Abnormal_metab"
"122","Other Types of O-Glycan Biosynthesis","Abnormal metabolism in tumors","Abnormal_metab"
"123","Glycosaminoglycan Biosynthesis","Abnormal metabolism in tumors","Abnormal_metab"
"124","Glycosaminoglycan Degradation","Abnormal metabolism in tumors","Abnormal_metab"
"125","Glycosphosphatidylinositol","Abnormal metabolism in tumors","Abnormal_metab"
"126","Glycosphingolipid Biosynthesis","Abnormal metabolism in tumors","Abnormal_metab"
"127","Other Glycan Degradation","Abnormal metabolism in tumors","Abnormal_metab"
"128","Thiamine Metabolism","Abnormal metabolism in tumors","Abnormal_metab"
"129","Riboflavin Metabolism","Abnormal metabolism in tumors","Abnormal_metab"
"130","Vitamin B6 Metabolism","Abnormal metabolism in tumors","Abnormal_metab"
"131","Pantothenate and CoA Biosynthesis","Abnormal metabolism in tumors","Abnormal_metab"
"132","Biotin Metabolism","Abnormal metabolism in tumors","Abnormal_metab"
"133","Lipoic Acid Metabolism","Abnormal metabolism in tumors","Abnormal_metab"
"134","Porphyrin and Chlorophyll Metabolism","Abnormal metabolism in tumors","Abnormal_metab"
"135","Ubiquinone and other Terpenoid-Quinone Biosynthesis","Abnormal metabolism in tumors","Abnormal_metab"
"136","Terpenoid Backbone Biosynthesis","Abnormal metabolism in tumors","Abnormal_metab"
"137","Caffiene Metabolism","Abnormal metabolism in tumors","Abnormal_metab"
"138","Neomycin, Kanamysin and Gentamicin Biosynthesis","Abnormal metabolism in tumors","Abnormal_metab"
"139","Metabolism of Xenobiotics by Cytochrome P450","Abnormal metabolism in tumors","Abnormal_metab"
"140","Drug Metabolism by Cytochrome P450","Abnormal metabolism in tumors","Abnormal_metab"
"141","Drug Metabolism by other enzymes","Abnormal metabolism in tumors","Abnormal_metab"
"142","FLT3 signaling in disease","Signaling transdunctor in Cacner","reactome_selected"
"143","Oncogenic MAPK signaling","Signaling transdunctor in Cacner","reactome_selected"
"144","PI3K/AKT Signaling in Cancer","Signaling transdunctor in Cacner","reactome_selected"
"145","Signaling by ALK in cancer","Signaling transdunctor in Cacner","reactome_selected"
"146","Signaling by EGFR in Cancer","Signaling transdunctor in Cacner","reactome_selected"
"147","Signaling by ERBB2 in Cancer","Signaling transdunctor in Cacner","reactome_selected"
"148","Signaling by FGFR in disease","Signaling transdunctor in Cacner","reactome_selected"
"149","Signaling by KIT in disease","Signaling transdunctor in Cacner","reactome_selected"
"150","Signaling by PDGFR in disease","Signaling transdunctor in Cacner","reactome_selected"
"151","Signaling by TGF-beta Receptor Complex in Cancer","Signaling transdunctor in Cacner","reactome_selected"
"152","Signaling by WNT in cancer","Signaling transdunctor in Cacner","reactome_selected"
"153","Antigen_Processing_and_Presentation","immune_pathwas17","Immnue17"
"154","Antimicrobials","immune_pathwas17","Immnue17"
"155","BCRSignalingPathway","immune_pathwas17","Immnue17"
"156","Chemokines","immune_pathwas17","Immnue17"
"157","Chemokine_Receptors","immune_pathwas17","Immnue17"
"158","Cytokines","immune_pathwas17","Immnue17"
"159","Cytokine_Receptors","immune_pathwas17","Immnue17"
"160","Interferons","immune_pathwas17","Immnue17"
"161","Interferon_Receptor","immune_pathwas17","Immnue17"
"162","Interleukins","immune_pathwas17","Immnue17"
"163","Interleukins_Receptor","immune_pathwas17","Immnue17"
"164","NaturalKiller_Cell_Cytotoxicity","immune_pathwas17","Immnue17"
"165","TCRsignalingPathway","immune_pathwas17","Immnue17"
"166","TGFb_Family_Member","immune_pathwas17","Immnue17"
"167","TGFb_Family_Member_Receptor","immune_pathwas17","Immnue17"
"168","TNF_Family_Members","immune_pathwas17","Immnue17"
"169","TNF_Family_Members_Receptors","immune_pathwas17","Immnue17"
"170","B.cells.memory","Immune_cellTypes","Immune_combine"
"171","B.cells.naive","Immune_cellTypes","Immune_combine"
"172","Dendritic.cells.activated","Immune_cellTypes","Immune_combine"
"173","Dendritic.cells.resting","Immune_cellTypes","Immune_combine"
"174","Eosinophils","Immune_cellTypes","Immune_combine"
"175","Macrophages.M0","Immune_cellTypes","Immune_combine"
"176","Macrophages.M1","Immune_cellTypes","Immune_combine"
"177","Macrophages.M2","Immune_cellTypes","Immune_combine"
"178","Mast.cells.activated","Immune_cellTypes","Immune_combine"
"179","Mast.cells.resting","Immune_cellTypes","Immune_combine"
"180","Monocytes","Immune_cellTypes","Immune_combine"
"181","Neutrophils","Immune_cellTypes","Immune_combine"
"182","NK.cells.activated","Immune_cellTypes","Immune_combine"
"183","NK.cells.resting","Immune_cellTypes","Immune_combine"
"184","Plasma.cells","Immune_cellTypes","Immune_combine"
"185","T.cells.CD4.memory.activated","Immune_cellTypes","Immune_combine"
"186","T.cells.CD4.memory.resting","Immune_cellTypes","Immune_combine"
"187","T.cells.CD4.naive","Immune_cellTypes","Immune_combine"
"188","T.cells.CD8","Immune_cellTypes","Immune_combine"
"189","T.cells.follicular.helper","Immune_cellTypes","Immune_combine"
"190","T.cells.gamma.delta","Immune_cellTypes","Immune_combine"
"191","T.cells.regulatory.(Tregs)","Immune_cellTypes","Immune_combine"
"192","Endothelial_cells","Immune_cellTypes","Immune_combine"
"193","Fibroblasts","Immune_cellTypes","Immune_combine"
"194","Th1","Immune_cellTypes","Immune_combine"
"195","Th17","Immune_cellTypes","Immune_combine"
"196","Th2","Immune_cellTypes","Immune_combine"
